Common Name,Latin Name,Image,Category,Ecological Status,Evergreen,Seasonal Interest,Height Class,Sun Exposure,Moisture Preference,Notes,inaturalist image url,curated image url,Habitat Patch Role,Aggressive,Patch Scale,Mesic South- Facing Heat,Dry Upper Slope,Mid-Slope Mesic,Moist Lower Area,Woodland Edge,Conifer Shade,Dry Slope,Native L3_58,Native L3_598,Native L3_64,Native L3_84,Plant Form,Max Height (ft),Foliage Color,deer_pressure,rabbit_damage,vole_girdling_risk,toxic_dogs,toxic_cats,toxic_children,juglone_sensitivity,white_pine_tolerance,norway_maple_tolerance,seed_ripe_start,seed_ripe_end,seed_notes,caterpillar_species,propagation_notes,edible,edible_notes,medicinal,medicinal_notes,Flower Color,Bloom Period,bloom_start_idx,bloom_end_idx,Flower Color,flower_color_hex,Latin Name for alignment
Prairie Dropseed,Sporobolus heterolepis,,Grass,Native,No,Summer / Fall / Winter,Tall,Full Sun,Dry,"Fine texture, good low meadow matrix. Looks like bunches of long hair when planted in drifts. Fun design feature between small trees. ",https://static.inaturalist.org/photos/158094846/medium.jpg,,,,,5 - Best Fit,5 - Best Fit,3 - OK,1 - Don't Use,1 - Don't Use,1 - Don't Use,5 - Best Fit,Yes,Yes,Yes,Yes,Herbaceous,3,,low,low,low,no,no,no,unknown,marginal,avoid,September,October,Small seeds in open panicle,10,Divide clumps in early spring or fall,no,,no,,,Mid/Late Summer,6,9,,,Sporobolus heterolepis
Lamb's Ear,Stachys byzantina,,Groundcover,Safe Non-Native,Partly,Spring / Summer,Low,Full Sun,Dry,"silver foliage, child friendly texture",https://static.inaturalist.org/photos/393024630/medium.jpg,,,,,5 - Best Fit,5 - Best Fit,4 - Strong,2 - Marginal,3 - OK,1 - Don't Use,5 - Best Fit,No,No,No,No,Herbaceous,1.5,silver,low,low,low,no,no,no,unknown,avoid,avoid,July,August,Small nutlets; strip from dry stem,0,Divide in early spring or fall; easy,with caveats,Edible leaves; woolly texture,no,,pink,Late Spring,4,5,pink,#E8829A,Stachys byzantina
Bladdernut,Staphylea trifolia,,Shrub – Large,Native,No,Spring flowers; inflated seed pods,Structural,Part Sun–Shade,Mesic–Moist,Unusual inflated papery seed pods rattle in the breeze. White flower clusters in spring. Shade tolerant understory shrub. Spreads by suckers. Good for woodland edge habitat.,https://inaturalist-open-data.s3.amazonaws.com/photos/30252001/medium.jpg,,Woody,M,Medium,2 - Marginal,2 - Marginal,4 - Strong,4 - Strong,5 - Best Fit,3 - OK,2 - Marginal,Yes,Yes,Yes,Yes,Shrub,15,,low,low,low,no,no,no,unknown,marginal,tolerant,August,September,Inflated papery pods; collect when papery and dry; cold stratify,20,Divide suckers in early spring or fall; tip layering also works,with caveats,Seeds edible; bladdernut,no,,white,Mid Spring,3,4,white,#FFFFFF,Staphylea trifolia
Snowberry,Symphoricarpos albus,,Shrub – Small,Native,No,Winter berries,Mid,Full Sun–Part Sun,Dry–Mesic,"Distinctive pure white berries persist through winter — important late-season food for birds including robins, cedar waxwings, and ruffed grouse. Shade tolerant and drought tolerant once established. Spreads by suckers to form colonies. Underused native with real wildlife value.",https://inaturalist-open-data.s3.amazonaws.com/photos/293373777/medium.jpg,,Woody,M,Medium,3 - OK,4 - Strong,4 - Strong,2 - Marginal,4 - Strong,3 - OK,4 - Strong,Yes,Yes,Yes,Yes,Shrub,4,,low,low,low,mild,mild,mild,unknown,tolerant,marginal,September,November,White berries persist; collect when fully white; clean pulp; cold stratify,20,Divide suckers in early spring or fall; easy and reliable,no,Toxic berries,no,,pink | white,Early Summer,5,6,pink | white,#E8829A,Symphoricarpos albus
Blue Wood Aster,Symphyotrichum cordifolium,,Flowering Perennial,Native,No,Late nectar,Medium,Part Shade,Mesic,Shade-tolerant fall-blooming aster for woodland edges,https://inaturalist-open-data.s3.amazonaws.com/photos/234797159/medium.jpeg,,Understory fill,N,Medium,3 - OK,2 - Marginal,4 - Strong,3 - OK,5 - Best Fit,4 - Strong,2 - Marginal,Yes,Yes,Yes,Yes,Herbaceous,3,,low,low,low,no,no,no,unknown,tolerant,marginal,October,November,Fluffy achenes; collect before dispersal,20,Divide in early spring or fall; spreads to form colonies,no,,no,,blue | lavender,Fall,9,10,blue | lavender,#4A7FC1,Symphyotrichum cordifolium
Smooth Blue Aster / Smooth Aster,Symphyotrichum laeve,,Flowering Perennial,Native,No,Summer / Fall,Tall,Full Sun,Dry–Mesic,Dry sunny edge,https://inaturalist-open-data.s3.amazonaws.com/photos/411456090/medium.jpeg,,Anchor,N,Small,4 - Strong,5 - Best Fit,4 - Strong,3 - OK,3 - OK,3 - OK,4 - Strong,Yes,Yes,Yes,Yes,Herbaceous,3,blue-gray,low,low,low,no,no,no,unknown,avoid,avoid,October,November,Fluffy achenes; collect before dispersal,20,"Air layering works for larger branches — wound a stem, wrap with moist sphagnum in plastic, sever once rooted. May not come true; best from seed.",no,,no,,blue | purple,Early Summer,5,6,blue | purple,#4A7FC1,Symphyotrichum laeve
Calico Aster,Symphyotrichum lateriflorum,,Flowering Perennial,Native,No,Fall / Winter,Tall,Part Sun–Shade,Mesic,Masses of tiny blooms,https://inaturalist-open-data.s3.amazonaws.com/photos/5044116/medium.jpg,,Matrix,N,Small,4 - Strong,2 - Marginal,4 - Strong,3 - OK,4 - Strong,4 - Strong,4 - Strong,Yes,Yes,Yes,Yes,Herbaceous,3,,low,low,low,no,no,no,unknown,marginal,marginal,October,November,Fluffy achenes; collect before dispersal,20,"Air layering works for larger branches — wound a stem, wrap with moist sphagnum in plastic, sever once rooted. May not come true; best from seed.",no,,no,,white,Late Summer/Fall,8,10,white,#FFFFFF,Symphyotrichum lateriflorum
New England Aster,Symphyotrichum novae-angliae,,Flowering Perennial,Native,No,Fall Color,Tall,Full Sun,Mesic,Late-season nectar workhorse,https://inaturalist-open-data.s3.amazonaws.com/photos/34202/medium.jpg,,Anchor,N,Medium,4 - Strong,2 - Marginal,4 - Strong,4 - Strong,3 - OK,1 - Don't Use,4 - Strong,Yes,Yes,Yes,Yes,Herbaceous,4,,low,low,low,no,no,no,unknown,avoid,avoid,October,November,Fluffy achenes; collect before dispersal,20,"Tip layering works — pin a low arching cane to the ground in spring, sever the following year. Also divide suckers in early spring; spreads by rhizome.",no,,no,,purple | pink,Fall,9,10,purple | pink,#7B4EA0,Symphyotrichum novae-angliae
Native L3_59,Symphyotrichum novi-belgii,,Flowering Perennial,Native,No,Fall Color,Tall,Full Sun,Mesic–Moist,"Shorter, spreads more; great fall pollinator",https://inaturalist-open-data.s3.amazonaws.com/photos/93641375/medium.jpg,,Anchor,M,Medium,4 - Strong,2 - Marginal,4 - Strong,4 - Strong,3 - OK,1 - Don't Use,3 - OK,Yes,Yes,Yes,Yes,Herbaceous,5,,low,low,low,no,no,no,unknown,avoid,avoid,October,November,Fluffy achenes; collect before dispersal,20,"Tip layering works — pin a low branch to moist soil in spring, sever the following year. Also divide suckers in early spring or fall.",no,,no,,purple | blue | pink,Fall,9,10,purple | blue | pink,#7B4EA0,Symphyotrichum novi-belgii
Purple-stemmed Aster,Symphyotrichum puniceum,,Flowering Perennial,Native,No,Late nectar,Tall,Sun–Part Shade,Moist,Tall aster suited to moist meadows and wetlands,https://inaturalist-open-data.s3.amazonaws.com/photos/158898865/medium.jpg,,Understory fill,N,Large,Wet meadow pollinator plant,,,,,,,Yes,Yes,Yes,Yes,Herbaceous,5,,low,low,low,no,no,no,unknown,avoid,avoid,October,November,Fluffy achenes; collect before dispersal,20,Divide in early spring or fall; spreads by rhizome,no,,no,,purple | blue,Fall,9,10,purple | blue,#7B4EA0,Symphyotrichum puniceum
Bald cypress,Taxodium distichum,,Tree - Large,Near-Native,N,Feathery foliage; strong form,Large Tree,Full Sun,Moist to Wet,Handles periodic flooding,https://inaturalist-open-data.s3.amazonaws.com/photos/295596830/medium.jpeg,,Canopy structure,N,Large,3 - OK,1 - Don't Use,3 - OK,5 - Best Fit,3 - OK,1 - Don't Use,1 - Don't Use,No,Yes,Yes,Yes,Tree,70,lime green,low,low,low,no,no,no,unknown,avoid,avoid,October,November,Cones with winged seeds,20,Best grown from seed; difficult to transplant,no,,no,,,Spring,3,5,,,Taxodium distichum
Canada Yew,Taxus canadensis,,Shrub – Small,Native,Yes,Evergreen groundcover; red arils,Low,Part Sun–Shade,Mesic,The only native yew — a low spreading evergreen groundcover for deep shade. Red arils eaten by birds but the seed is highly toxic. One of very few evergreen options for dry conifer shade. Deer browse it heavily.,https://inaturalist-open-data.s3.amazonaws.com/photos/297521420/medium.jpeg,,Ground,N,Small,2 - Marginal,2 - Marginal,3 - OK,3 - OK,4 - Strong,5 - Best Fit,2 - Marginal,Yes,Yes,Yes,Yes,Shrub,3,dark green,high,low,low,yes,yes,yes,unknown,tolerant,marginal,August,September,"Red arils; birds disperse seeds; wash off aril and cold stratify — seeds highly toxic, handle carefully",15,Division is slow and difficult; best from semi-hardwood cuttings in late summer; ground layering sometimes works,no,Toxic — highly dangerous,no,,yellow-green,Early Spring,2,3,yellow-green,#CDDC39,Taxus canadensis
Early Meadow Rue,Thalictrum dioicum,,Flowering Perennial,Native,No,Airy foliage and flowers,Medium,Part Shade–Shade,Mesic,Delicate spring perennial with airy foliage,https://inaturalist-open-data.s3.amazonaws.com/photos/33016/medium.jpg,,Ground layer,N,Small,Spring meadow rue; delicate woodland plant,,,,,,,Yes,Yes,Yes,Yes,Herbaceous,3,blue-gray,low,low,low,mild,mild,mild,unknown,marginal,marginal,June,July,Small achenes; collect when dry,10,Divide in early spring; easy,no,,no,,green | cream,Spring,3,5,green | cream,#5A9E5A,Thalictrum dioicum
Tall Meadow Rue,Thalictrum pubescens,,Flowering Perennial,Native,No,Foliage Interest,Structural,Part Sun–Shade,Mesic–Moist,Tall airy foliage; filtered sun or bright shade,https://inaturalist-open-data.s3.amazonaws.com/photos/46189643/medium.jpg,,Anchor,N,Medium,3 - OK,1 - Don't Use,4 - Strong,4 - Strong,5 - Best Fit,3 - OK,3 - OK,Yes,Yes,Yes,Yes,Herbaceous,6,blue-gray,low,low,low,mild,mild,mild,unknown,marginal,avoid,August,September,Achenes in clusters; collect when dry,10,Divide in early spring; forms large airy clumps,no,,no,,white | cream,Summer,6,8,white | cream,#FFFFFF,Thalictrum pubescens
Rue Anemone,Thalictrum thalictroides,,Flowering Perennial,Native,No,Ephemeral,Low,Shade,Mesic,Delicate spring ephemeral suited to rich woodland soils,https://inaturalist-open-data.s3.amazonaws.com/photos/356908993/medium.jpeg,,Ground layer,N,Small,Spring ephemeral,,,,,,,Yes,Yes,Yes,Yes,Herbaceous,1,blue-gray,low,low,low,mild,mild,mild,unknown,marginal,avoid,June,July,Small achenes; collect when dry,10,Divide in early spring; easy,no,,no,,white | pink,Spring,3,5,white | pink,#FFFFFF,Thalictrum thalictroides
Marsh Fern,Thelypteris palustris,,Fern,Native,No,Wetland foliage,Medium,Sun–Part Shade,Wet,Wetland fern suited to marshy soils and moist woodland edges,https://inaturalist-open-data.s3.amazonaws.com/photos/4839037/medium.jpg,,Understory fill,N,Medium,Wetland fern,,,,,,,Yes,Yes,Yes,Yes,Herbaceous,3,,low,low,low,no,no,no,unknown,avoid,avoid,June,August,"Fern — produces spores, not seeds",5,Divide in early spring as fronds emerge; prefers wet soil,no,,no,,,Spring–Fall,3,10,,,Thelypteris palustris
Carolina Lupine,Thermopsis caroliniana,,Flowering Perennial,Native,No,Yellow flowers,Medium,Sun,Dry–Mesic,Nitrogen-fixing perennial with yellow pea-like flowers,https://inaturalist-open-data.s3.amazonaws.com/photos/13040666/medium.jpg,,Understory fill,N,Medium,4 - Strong,4 - Strong,4 - Strong,2 - Marginal,2 - Marginal,1 - Don't Use,4 - Strong,No,No,Yes,No,Herbaceous,3,,low,low,low,mild,mild,mild,unknown,avoid,avoid,August,September,Dry pods; collect when brown,25,Divide in early spring; forms large clumps over time,no,Toxic raw,no,,yellow,Spring,3,5,yellow,#F9C820,Thermopsis caroliniana
Eastern white cedar / northern white cedar (native arborvitae),Thuja occidentalis,,Midstory Tree,Native,Y,Evergreen structure,Medium Tree,Full Sun to Part Shade,Mesic to Moist,Common native arborvitae,https://inaturalist-open-data.s3.amazonaws.com/photos/4684247/medium.jpeg,,Evergreen structure,N,Medium,3 - OK,2 - Marginal,4 - Strong,4 - Strong,4 - Strong,3 - OK,2 - Marginal,Yes,Yes,Yes,Yes,Tree,40,dark green,high,high,high,mild,mild,mild,sensitive,marginal,avoid,September,October,Small cones; shake seeds out,15,Best grown from seed; difficult to transplant,no,,yes,Traditional medicinal use; used for respiratory and immune support; do not self-prescribe,,Spring,3,5,,,Thuja occidentalis
Foamflower,Tiarella cordifolia,,Groundcover,Native,Partly,Summer / Fall,Low,Part Sun–Shade,Mesic,Spreads gently in rich woods,https://inaturalist-open-data.s3.amazonaws.com/photos/197934244/medium.jpg,,Ground,N,Small,3 - OK,1 - Don't Use,3 - OK,3 - OK,4 - Strong,5 - Best Fit,3 - OK,Yes,Yes,Yes,Yes,Herbaceous,1,,low,medium,low,no,no,no,unknown,tolerant,marginal,June,July,Tiny capsules; shake when dry,10,Divide in early spring or fall; spreads by stolons,no,,no,,white | pink,Fall,9,10,white | pink,#FFFFFF,Tiarella cordifolia
American Linden / Basswood,Tilia americana,,Tall Canopy Tree,Native,No,Summer fragrance,Structural,Full Sun–Part Sun,Mesic,Intensely fragrant flowers in early summer — one of the most important nectar trees for native bees in northeastern North America. Large heart-shaped leaves. Long-lived canopy tree.,https://static.inaturalist.org/photos/404975522/medium.jpeg,,Woody,N,Large,2 - Marginal,2 - Marginal,4 - Strong,4 - Strong,4 - Strong,2 - Marginal,2 - Marginal,Yes,Yes,Yes,Yes,Tree,80,,low,low,low,no,no,no,unknown,marginal,avoid,August,September,Round nutlets on papery bract; cold stratify,150,Difficult from seed (double dormancy); division of suckers possible; best purchased as nursery-grown stock,with caveats,Flowers edible; used in tea and cooking,yes,Flower tea used medicinally for relaxation and colds,yellow | cream,Early Summer,5,6,yellow | cream,#F9C820,Tilia americana
Spiderwort,Tradescantia virginiana,,Flowering Perennial,Near-Native,No,Spring / Summer,Mid,Full Sun–Part Sun,Mesic,"Three-petaled flowers in blue-purple, pink, or white open in the morning. Long bloom season. Adaptable and easy. Native to mid-Atlantic states; performs very well in MA.",https://inaturalist-open-data.s3.amazonaws.com/photos/21373805/medium.jpeg,,Matrix,N,Small,3 - OK,3 - OK,4 - Strong,4 - Strong,4 - Strong,2 - Marginal,3 - OK,Yes,Yes,Yes,Yes,Herbaceous,2,,medium,low,low,no,no,no,unknown,marginal,marginal,July,August,Small dry capsules; collect when dry,10,Divide in early spring; very easy — forms large clumps,with caveats,Young shoots edible cooked,no,,blue | purple | pink | white,Late Spring–Summer,5,7,blue | purple | pink | white,#4A7FC1,Tradescantia virginiana
Forked Bluecurls,Trichostema dichotomum,,Flowering Perennial,Native,No,Intensely blue-violet flowers; fragrant; dry barrens specialist,Low,Full Sun,Dry,"Intensely fragrant annual of hot, sandy, dry, acidic soils — pine barrens, sandy road edges, granite outcrops. Striking blue-violet flowers with long curved stamens. Highly attractive to bumblebees. Self-seeding in suitable conditions. One of the most distinctive plants of dry open habitats in the Northeast.",https://static.inaturalist.org/photos/235148340/medium.jpg,,Matrix,N,Small,4 - Strong,5 - Best Fit,2 - Marginal,1 - Don't Use,2 - Marginal,1 - Don't Use,5 - Best Fit,Yes,Yes,Yes,Yes,Herbaceous,1.5,green,low,low,low,no,no,no,unknown,tolerant,avoid,September,October,Tiny nutlets in persistent calyces; collect when dry; direct sow on bare sandy soil in fall,5,Direct sow on bare sandy soil in fall; requires bare mineral soil and full sun; do not mulch — mulch prevents germination,no,,no,,blue | violet,Late Summer–Fall,8,10,blue | violet,#4A7FC1,Trichostema dichotomum
Toad Lily,Tricyrtis hirta,,Flowering Perennial,Safe Non-Native,No,Summer / Fall,Mid,Part Sun–Shade,Mesic,late exotic looking flowers in shade,https://inaturalist-open-data.s3.amazonaws.com/photos/1177872/medium.jpg,,,,,2 - Marginal,2 - Marginal,3 - OK,4 - Strong,5 - Best Fit,4 - Strong,2 - Marginal,No,No,No,No,Herbaceous,2,,low,low,low,no,no,no,unknown,marginal,marginal,October,November,Small capsules in leaf axils,0,Divide in early spring or fall; spreads slowly by rhizome,no,,no,,purple | white,Mid/Late Summer,6,9,purple | white,#7B4EA0,Tricyrtis hirta
Nodding Trillium,Trillium cernuum,,Foliage Perennial,Native,No,Spring,Low,Part Sun–Shade,Mesic–Moist,Moist forest specialist,https://inaturalist-open-data.s3.amazonaws.com/photos/3807211/medium.jpg,,Ground,N,Small,2 - Marginal,1 - Don't Use,3 - OK,4 - Strong,4 - Strong,4 - Strong,2 - Marginal,Yes,Yes,Yes,Yes,Herbaceous,1,,high,medium,low,mild,mild,mild,unknown,avoid,avoid,July,August,Dark berries; clean pulp; cold stratify,5,Divide in early spring as shoots emerge; slow — don't disturb unnecessarily,no,,no,,white,Early Spring,2,3,white,#FFFFFF,Trillium cernuum
Red Trillium,Trillium erectum,,Foliage Perennial,Native,No,Spring,Low,Part Sun–Shade,Mesic,Spring ephemeral,https://inaturalist-open-data.s3.amazonaws.com/photos/2802581/medium.jpg,,Ground,N,Small,2 - Marginal,1 - Don't Use,3 - OK,4 - Strong,4 - Strong,4 - Strong,2 - Marginal,Yes,Yes,Yes,Yes,Herbaceous,1,,high,medium,low,mild,mild,mild,unknown,marginal,avoid,July,August,Dark berries; clean pulp; cold stratify,5,Divide in early spring as shoots emerge; slow — don't disturb unnecessarily,no,,no,,maroon | red,Early Spring,2,3,maroon | red,#7B2340,Trillium erectum
Great White Trillium,Trillium grandiflorum,,Flowering Perennial,Native,No,Ephemeral,Low,Shade,Mesic,Classic woodland spring ephemeral with slow growth,https://inaturalist-open-data.s3.amazonaws.com/photos/80252/medium.jpg,,Ground layer,N,Small,Spring ephemeral woodland plant,,,,,,,Yes,Yes,Yes,Yes,Herbaceous,1,,high,medium,low,mild,mild,mild,unknown,marginal,avoid,July,August,Dark berries; clean pulp; cold stratify,5,Divide in early spring as shoots emerge; slow — don't disturb unnecessarily,no,Protected species — do not harvest,no,,white,Spring,3,5,white,#FFFFFF,Trillium grandiflorum
Yellow Trillium,Trillium luteum,,Flowering Perennial,Native,No,Ephemeral,Low,Shade,Mesic,Spring trillium with mottled leaves and yellow flowers,https://inaturalist-open-data.s3.amazonaws.com/photos/65672692/medium.jpeg,,Ground layer,N,Small,Spring woodland ephemeral,,,,,,,No,No,Yes,No,Herbaceous,1,,high,medium,low,mild,mild,mild,unknown,marginal,avoid,July,August,Dark berries; clean pulp; cold stratify,5,Divide in early spring as shoots emerge; slow — don't disturb unnecessarily,no,,no,,yellow | green,Spring,3,5,yellow | green,#F9C820,Trillium luteum
Eastern Hemlock,Tsuga canadensis,,Tree - Large,Native,Yes,Spring / Summer,Structural,Part Sun–Shade,Mesic,Deep shade evergreen,https://inaturalist-open-data.s3.amazonaws.com/photos/400071107/medium.jpeg,,Woody,N,Large,2 - Marginal,1 - Don't Use,3 - OK,4 - Strong,4 - Strong,5 - Best Fit,2 - Marginal,Yes,Yes,Yes,Yes,Tree,70,dark green,high,medium,high,no,no,no,sensitive,tolerant,marginal,September,October,Small cones; winged seeds disperse quickly,160,Best grown from fresh seed or purchased; difficult to transplant,with caveats,Young needles edible; used in hemlock tip tea,yes,Needle tea used medicinally; high in vitamin C,,Late Spring,4,5,,,Tsuga canadensis
Common Cattail,Typha latifolia,,Grass,Native,No,Cattail spikes; wetland structure; wildlife habitat,Structural,Full Sun,Wet–Aquatic,The quintessential wetland plant. Forms dense stands in marshes and pond edges. Excellent wildlife habitat for red-winged blackbirds and muskrats. Very aggressive in standing water — best in large wetland settings or where spread can be managed. Multiple edible parts.,https://inaturalist-open-data.s3.amazonaws.com/photos/4280840/medium.jpeg,,Matrix,M,Large,1 - Don't Use,1 - Don't Use,1 - Don't Use,5 - Best Fit,2 - Marginal,1 - Don't Use,1 - Don't Use,Yes,Yes,Yes,Yes,Herbaceous,8,green,low,low,low,no,no,no,unknown,avoid,avoid,September,October,Fluffy seed mass from cattail spike; collect before dispersal; surface sow on wet soil,5,Divide rhizomes in early spring — very vigorous; plant in submerged pots to control spread,yes,"Young shoots, pollen, and green spikes all edible in season",no,,brown | tan,Early Summer,5,6,brown | tan,#8B6347,Typha latifolia
Lowbush Blueberry,Vaccinium angustifolium,,Shrub – Low,Native,No,Summer Fruit,Ground / Low Shrub,Full Sun–Part Sun,Dry–Mesic,Low native blueberry,https://inaturalist-open-data.s3.amazonaws.com/photos/56287/medium.jpg,,Woody,Y,Small,4 - Strong,4 - Strong,4 - Strong,3 - OK,3 - OK,2 - Marginal,4 - Strong,Yes,Yes,Yes,Yes,Shrub,2,green,medium,medium,medium,no,no,no,tolerant,marginal,tolerant,July,August,Edible berries,250,Spreads by rhizomes,yes,Edible berries; lowbush blueberry,no,,white,Spring,3,5,white,#FFFFFF,Vaccinium angustifolium
Highbush Blueberry,Vaccinium corymbosum,,Shrub – Large,Native,No,Fall / Winter,Structural,Full Sun–Part Sun,Mesic–Moist,"Fruit for wildlife, fall color",https://inaturalist-open-data.s3.amazonaws.com/photos/216577733/medium.jpg,,Woody,N,Medium,4 - Strong,2 - Marginal,4 - Strong,5 - Best Fit,4 - Strong,3 - OK,4 - Strong,Yes,Yes,Yes,Yes,Shrub,6,,high,high,high,no,no,no,sensitive,tolerant,avoid,July,August,Blue berries; clean pulp; acid scarify,250,Division not practical; best from softwood cuttings in summer,yes,Edible berries; highbush blueberry,no,,white | pink,Late Spring,4,5,white | pink,#FFFFFF,Vaccinium corymbosum
Cranberry (groundcover),Vaccinium macrocarpon,,Groundcover,Native,N,Red fruit,Low Shrub,Full Sun,Moist to Wet,Spreading wetland groundcover,https://inaturalist-open-data.s3.amazonaws.com/photos/259774277/medium.jpeg,,Ground layer,Y,Small,3 - OK,1 - Don't Use,3 - OK,5 - Best Fit,3 - OK,1 - Don't Use,1 - Don't Use,Yes,Yes,Yes,Yes,Herbaceous,0.5,dark green,medium,medium,medium,no,no,no,sensitive,avoid,avoid,September,October,Red berries; clean pulp; acid scarify,250,Division not practical; best from softwood cuttings in summer,yes,Cranberries edible,yes,Cranberry used medicinally for urinary tract health,pink,Summer,6,8,pink,#E8829A,Vaccinium macrocarpon
Tall Verbena,Verbena bonariensis,,Flowering Perennial,Safe Non-Native,No,Summer/Fall Color,Structural,Full Sun,Dry–Mesic,Light airy reseeder; huge pollinator draw,https://inaturalist-open-data.s3.amazonaws.com/photos/283884295/medium.jpg,,,,,5 - Best Fit,3 - OK,4 - Strong,3 - OK,2 - Marginal,1 - Don't Use,5 - Best Fit,No,No,No,No,Herbaceous,4,,low,low,low,no,no,no,unknown,avoid,avoid,September,October,Small nutlets; strip dry stems,10,Divide in early spring; short-lived — allow to reseed,no,,no,,purple,Summer–Fall,7,10,purple,#7B4EA0,Verbena bonariensis
Blue Vervain,Verbena hastata,,Flowering Perennial,Native,No,Pollinator flowers,Large,Sun–Part Shade,Moist,Wet meadow perennial attractive to many pollinators,https://static.inaturalist.org/photos/6560152/medium.jpeg,,Understory fill,N,Large,Wet meadow pollinator plant,,,,,,,Yes,Yes,Yes,Yes,Herbaceous,8,,low,low,low,no,no,no,unknown,avoid,avoid,September,October,Small nutlets; strip from dry stem,10,Divide in early spring or fall,no,,yes,Traditional medicinal herb; used for fever and respiratory complaints,blue | purple,Summer,6,8,blue | purple,#4A7FC1,Verbena hastata
White Vervain,Verbena urticifolia,,Flowering Perennial,Native,No,Pollinator plant,Tall,Part Shade,Mesic,Tall airy perennial that supports many insect species,https://inaturalist-open-data.s3.amazonaws.com/photos/9197315/medium.jpeg,,Understory fill,N,Medium,3 - OK,2 - Marginal,4 - Strong,3 - OK,4 - Strong,4 - Strong,2 - Marginal,Yes,Yes,Yes,Yes,Herbaceous,5,,low,low,low,no,no,no,unknown,marginal,marginal,September,October,Small nutlets; strip from dry stem,10,Divide in early spring or fall,no,,yes,Traditional medicinal herb,white,Summer,6,8,white,#FFFFFF,Verbena urticifolia
Wingstem,Verbesina alternifolia,,Flowering Perennial,Native,No,Fall Color,Structural,Full Sun–Part Sun,Mesic–Moist,Tall native daisy with winged stems. Late-season pollinator magnet. At the northern edge of its range in MA but performs well in the Lexington microclimate.,https://static.inaturalist.org/photos/229484444/medium.jpg,,Anchor,N,Medium,3 - OK,2 - Marginal,4 - Strong,5 - Best Fit,4 - Strong,2 - Marginal,2 - Marginal,Yes,Yes,Yes,Yes,Herbaceous,8,,low,low,low,no,no,no,unknown,marginal,marginal,September,October,Winged achenes; collect dry heads,20,Divide in early spring or fall,no,,no,,yellow,Late Summer–Fall,8,10,yellow,#F9C820,Verbesina alternifolia
Ironweed,Vernonia noveboracensis,,Flowering Perennial,Native,No,Purple flowers,Tall,Sun,Moist,Tall late-season nectar plant important for pollinators,https://inaturalist-open-data.s3.amazonaws.com/photos/92055781/medium.jpeg,,Understory fill,N,Large,4 - Strong,2 - Marginal,4 - Strong,5 - Best Fit,3 - OK,2 - Marginal,2 - Marginal,Yes,Yes,Yes,Yes,Herbaceous,6,,low,low,low,no,no,no,unknown,avoid,avoid,September,October,Fluffy achenes; collect before dispersal,15,Divide in early spring or fall; forms large clumps,no,,no,,purple,Late Summer,7,9,purple,#7B4EA0,Vernonia noveboracensis
Culver’s Root,Veronicastrum virginicum,,Flowering Perennial,Native,No,Vertical flowers,Tall,Sun–Part Shade,Mesic,Tall perennial with distinctive vertical flower spikes,https://inaturalist-open-data.s3.amazonaws.com/photos/2173863/medium.jpg,,Understory fill,N,Large,Vertical pollinator plant,,,,,,,Yes,Yes,Yes,Yes,Herbaceous,5,,low,low,low,mild,mild,mild,unknown,avoid,avoid,September,October,Dry capsules; shake seeds out,15,Divide in early spring or fall,no,,no,,white | lavender,Summer,6,8,white | lavender,#FFFFFF,Veronicastrum virginicum
Arrowwood Viburnum,Viburnum dentatum,,Shrub,Native,No,Berries + Fall Color,Structural,Full Sun–Part Sun,Mesic,Tolerates varied soils; great bird plant,https://inaturalist-open-data.s3.amazonaws.com/photos/197714531/medium.jpg,,Woody,N,Medium,4 - Strong,3 - OK,4 - Strong,3 - OK,4 - Strong,2 - Marginal,4 - Strong,Yes,Yes,Yes,Yes,Shrub,10,,medium,medium,low,no,no,no,tolerant,marginal,avoid,August,September,Blue-black drupes; clean pulp; cold stratify,100,Divide suckers in early spring or fall,with caveats,Fruit edible; bitter and astringent,no,,white,Spring–Fall,3,10,white,#FFFFFF,Viburnum dentatum
Nannyberry,Viburnum lentago,,Tree - Small,Native,N,Dark berries,Small Tree,Full Sun to Part Shade,Mesic,Multi-season interest,https://inaturalist-open-data.s3.amazonaws.com/photos/172175665/medium.jpg,,Midstory fill,N,Medium,4 - Strong,3 - OK,4 - Strong,3 - OK,4 - Strong,3 - OK,3 - OK,Yes,Yes,Yes,Yes,Tree,15,,medium,medium,low,no,no,no,unknown,marginal,marginal,September,October,Blue-black drupes; clean pulp; cold stratify,100,Divide suckers in early spring or fall,yes,Edible fruit; nannyberry,no,,white | cream,Late Spring,4,5,white | cream,#FFFFFF,Viburnum lentago
Smooth Witherod,Viburnum nudum,,Shrub,Native,No,Berries + Fall Color,Structural,Full Sun–Part Sun,Mesic–Moist,Pink-to-blue berries; loves moisture,https://inaturalist-open-data.s3.amazonaws.com/photos/219829327/medium.jpg,,Woody,N,Medium,4 - Strong,1 - Don't Use,3 - OK,5 - Best Fit,4 - Strong,2 - Marginal,4 - Strong,Yes,Yes,Yes,Yes,Shrub,8,,medium,medium,low,no,no,no,unknown,avoid,avoid,August,September,Blue-black drupes; clean pulp; cold stratify,100,Divide suckers in early spring or fall,with caveats,Fruit edible; astringent,no,,white,Summer–Fall,7,10,white,#FFFFFF,Viburnum nudum
